interaction_id,anycompany_customer_id,agent_id,interaction_type,interaction_date,interaction_duration,issue_category,resolution_status
971679,Company L,529703,email,2024-04-19 08:52,1383,technical,resolved
487583,Company B,446944,email,2024-03-16 21:13,1192,account,resolved
203941,Company U,710947,chat,2024-04-27 20:53,885,technical,resolved
200315,Company R,986578,chat,2024-08-12 09:31,375,technical,escalated
388768,Company B,316714,phone,2024-04-07 15:56,1619,technical,resolved
539239,Company H,878229,chat,2024-06-02 06:39,193,billing,resolved
357496,Company E,960659,chat,2024-03-01 13:36,1614,billing,resolved
220578,Company Y,549940,chat,2024-09-25 12:38,166,technical,resolved
294702,Company O,222954,chat,2024-04-12 20:12,450,technical,escalated
633254,Company Q,683190,email,2024-04-07 23:33,277,technical,resolved
360743,Company Z,770598,phone,2024-04-28 10:27,1091,technical,resolved
558217,Company R,154043,email,2024-08-23 23:47,1186,other,resolved
922726,Company J,959712,email,2024-04-30 00:32,477,technical,escalated
659667,Company A,379416,phone,2024-07-02 09:33,1286,billing,resolved
783615,Company U,652578,email,2024-07-25 18:03,354,technical,resolved
875262,Company K,974835,phone,2024-05-11 14:28,177,refund,resolved
446300,Company M,475593,chat,2024-07-03 19:10,884,technical,resolved
273167,Company R,213395,chat,2024-06-18 14:32,261,technical,resolved
197104,Company E,315730,chat,2024-09-28 20:03,1714,technical,resolved
603004,Company K,489648,chat,2024-08-30 11:48,199,technical,resolved
838974,Company S,838285,phone,2024-05-11 09:51,838,technical,escalated
753508,Company G,882633,chat,2024-06-01 03:21,66,other,resolved
733017,Company S,327893,phone,2024-04-17 13:28,731,billing,resolved
835169,Company Z,413222,email,2024-03-24 06:33,695,technical,resolved
129518,Company C,599996,phone,2024-07-07 17:29,1117,technical,resolved
486651,Company R,537644,chat,2024-01-31 20:44,1134,billing,resolved
505278,Company G,447711,phone,2024-01-24 07:56,592,technical,resolved
313907,Company O,881846,email,2024-07-12 21:03,542,technical,escalated
805651,Company Z,854039,phone,2024-09-30 18:59,319,billing,resolved
530642,Company P,337760,chat,2024-09-09 22:21,371,technical,resolved
399813,Company R,451795,chat,2024-07-04 05:35,614,technical,resolved
258174,Company D,132579,email,2024-01-07 16:27,326,refund,resolved
916863,Company M,750765,chat,2024-04-16 20:52,644,other,resolved
285168,Company O,960196,chat,2024-03-06 03:37,273,billing,resolved
382366,Company Z,179275,email,2024-06-17 13:18,594,billing,resolved
438603,Company Z,501034,email,2024-03-26 00:35,753,account,resolved
218910,Company M,140901,chat,2024-03-23 15:14,182,technical,resolved
771395,Company T,386454,phone,2024-02-27 14:46,1004,technical,resolved
824875,Company O,881502,chat,2024-02-19 02:41,399,billing,resolved
765985,Company A,749034,phone,2024-09-10 00:18,864,account,resolved
170109,Company Q,139246,chat,2024-04-30 07:23,287,account,resolved
205957,Company L,591821,phone,2024-02-28 13:17,1345,billing,escalated
685879,Company F,773461,phone,2024-04-05 06:44,433,technical,resolved
283707,Company Y,943771,email,2024-09-06 18:19,405,billing,resolved
639912,Company K,482800,email,2024-10-04 17:37,712,billing,escalated
863177,Company X,995024,chat,2024-06-01 00:36,777,technical,resolved
161892,Company Q,234807,email,2024-09-19 11:28,811,technical,resolved
566455,Company P,528260,email,2024-08-19 15:02,1123,technical,resolved
803426,Company T,152924,chat,2024-05-24 05:22,874,technical,resolved
124156,Company W,394322,chat,2024-08-04 08:48,778,technical,resolved
795972,Company M,559126,phone,2024-09-26 08:25,366,technical,escalated
498381,Company X,474782,chat,2024-06-20 22:04,855,billing,resolved
284396,Company J,204003,chat,2024-08-16 14:21,356,technical,resolved
974648,Company V,361504,phone,2024-10-03 18:42,817,technical,resolved
300534,Company Z,272628,phone,2024-07-20 23:48,272,technical,resolved
607095,Company Q,200576,chat,2024-01-05 19:39,720,refund,escalated
566888,Company R,873029,email,2024-04-22 08:03,1090,account,resolved
778027,Company Z,853597,email,2024-02-13 16:30,1032,technical,escalated
779602,Company F,961880,chat,2024-04-25 11:52,340,technical,resolved
299937,Company F,101798,chat,2024-09-15 18:04,261,technical,resolved
548328,Company R,849338,chat,2024-03-19 11:05,385,technical,resolved
701570,Company C,778052,chat,2024-04-20 02:28,372,technical,resolved
593083,Company C,308687,email,2024-07-17 22:49,881,technical,resolved
786534,Company V,542624,phone,2024-08-07 04:13,1063,account,resolved
199390,Company Y,190197,chat,2024-09-28 16:43,491,refund,unresolved
334405,Company C,661672,chat,2024-04-23 14:07,1047,billing,resolved
826620,Company T,218786,chat,2024-03-02 18:03,884,account,resolved
850173,Company O,126986,email,2024-08-17 10:30,704,refund,resolved
408852,Company M,556227,phone,2024-05-17 20:52,379,technical,resolved
199432,Company O,420997,email,2024-04-04 15:15,862,technical,resolved
472758,Company Z,146306,email,2024-07-27 19:37,438,technical,resolved
604650,Company B,951847,chat,2024-02-04 14:09,350,technical,escalated
901668,Company W,880594,email,2024-10-04 15:34,299,billing,resolved
310931,Company T,185295,chat,2024-04-09 19:16,349,account,escalated
440422,Company N,366819,phone,2024-09-01 13:30,708,billing,resolved
470874,Company B,460358,chat,2024-05-25 14:48,425,technical,escalated
553679,Company Q,448652,chat,2024-07-28 00:29,296,billing,resolved
479416,Company Y,584269,email,2024-03-07 05:21,316,technical,resolved
566124,Company D,480885,chat,2024-09-07 17:55,1613,billing,resolved
360736,Company X,253589,email,2024-09-09 10:06,802,billing,resolved
224408,Company J,256657,chat,2024-07-13 23:38,115,technical,escalated
386593,Company O,454746,chat,2024-01-31 09:55,620,technical,resolved
806838,Company I,267528,chat,2024-10-06 13:35,410,billing,resolved
316579,Company O,349122,chat,2024-01-19 20:00,537,technical,resolved
654717,Company E,182212,chat,2024-04-16 00:12,707,account,resolved
975718,Company P,264935,chat,2024-03-25 19:58,745,technical,resolved
371016,Company D,993980,email,2024-03-25 21:29,609,technical,resolved
688957,Company C,262886,phone,2024-05-03 11:00,1003,account,resolved
246174,Company L,202641,email,2024-07-07 15:38,351,technical,escalated
948442,Company M,716438,chat,2024-05-04 21:01,553,technical,resolved
807438,Company X,449681,chat,2024-05-30 09:35,709,technical,escalated
480909,Company I,294014,phone,2024-06-20 11:39,497,billing,resolved
928295,Company U,227092,email,2024-02-10 05:30,411,technical,escalated
284946,Company E,143834,email,2024-02-01 16:55,605,billing,resolved
281425,Company H,472458,chat,2024-09-19 15:00,327,technical,resolved
242461,Company F,102540,chat,2024-04-07 05:02,432,billing,resolved
116551,Company T,990240,chat,2024-04-22 19:18,890,billing,escalated
865256,Company X,544083,phone,2024-07-17 00:54,258,technical,escalated
966492,Company R,732907,phone,2024-03-29 19:33,1129,other,resolved
655989,Company Y,346620,email,2024-08-05 16:48,830,technical,resolved
334487,Company Z,879224,chat,2024-07-29 23:41,714,technical,resolved
892775,Company G,590711,email,2024-09-20 23:02,444,technical,resolved
574489,Company D,273193,email,2024-05-06 09:51,901,technical,unresolved
851212,Company W,427418,chat,2024-01-29 21:35,394,technical,resolved
753141,Company Q,169883,chat,2024-06-22 11:17,701,technical,resolved
765093,Company J,788774,phone,2024-06-25 11:06,504,technical,resolved
118170,Company S,878767,chat,2024-05-12 00:08,772,technical,resolved
635814,Company J,633071,phone,2024-02-23 20:45,65,billing,resolved
575243,Company Z,889757,phone,2024-04-28 06:27,642,technical,escalated
152869,Company K,722812,chat,2024-04-13 12:15,311,technical,resolved
982210,Company P,883893,chat,2024-03-19 17:24,1139,account,resolved
553540,Company O,425510,chat,2024-06-23 15:00,685,account,unresolved
650268,Company N,267477,chat,2024-03-04 21:10,192,billing,escalated
305501,Company Q,948208,email,2024-09-11 10:25,377,technical,resolved
402504,Company H,636196,email,2024-07-17 03:36,568,technical,resolved
445107,Company C,538032,phone,2024-05-26 20:03,337,billing,resolved
906145,Company R,242138,chat,2024-04-25 12:23,839,other,resolved
146802,Company Y,618185,email,2024-08-22 10:00,677,technical,escalated
641667,Company W,198012,email,2024-01-20 06:21,803,billing,escalated
286730,Company A,363585,chat,2024-05-08 20:15,1236,billing,resolved
440391,Company A,992913,chat,2024-05-01 22:32,853,technical,escalated
760447,Company G,180241,phone,2024-08-26 07:31,401,billing,resolved
709546,Company N,801575,phone,2024-01-13 18:24,972,billing,resolved
904173,Company Q,676504,email,2024-04-20 16:54,565,refund,resolved
696360,Company P,848013,email,2024-07-18 06:38,775,technical,resolved
415869,Company T,290194,email,2024-05-13 15:49,833,technical,resolved
180275,Company O,832298,chat,2024-01-02 17:29,335,technical,resolved
930538,Company S,305232,chat,2024-02-02 11:49,858,technical,resolved
642024,Company L,472059,chat,2024-06-24 01:41,720,technical,resolved
790046,Company P,893336,chat,2024-04-29 09:43,1139,technical,resolved
414489,Company V,406889,chat,2024-01-08 12:20,290,technical,resolved
215267,Company Q,217591,email,2024-09-30 08:41,288,technical,resolved
495884,Company N,676711,chat,2024-08-19 18:27,1001,technical,escalated
663374,Company O,173389,chat,2024-04-05 14:23,572,technical,resolved
631723,Company Z,408093,chat,2024-05-07 19:05,721,technical,escalated
676920,Company R,739286,phone,2024-05-20 13:06,235,technical,resolved
617416,Company Q,822552,chat,2024-05-08 15:39,699,technical,resolved
139721,Company J,509318,chat,2024-08-10 17:17,556,technical,resolved
560705,Company E,317727,email,2024-06-08 10:15,1119,technical,resolved
814985,Company Z,104373,email,2024-08-13 13:17,693,technical,resolved
131184,Company G,730969,phone,2024-01-03 08:00,111,technical,resolved
525207,Company R,885023,chat,2024-05-11 14:09,232,technical,resolved
975859,Company C,775572,email,2024-09-17 11:07,887,technical,escalated
568403,Company A,657564,chat,2024-04-09 07:33,910,technical,resolved
814648,Company J,954825,chat,2024-06-10 03:27,404,technical,escalated
634815,Company P,574775,chat,2024-05-18 13:03,1117,other,resolved
141721,Company L,732594,chat,2024-02-05 02:46,1139,technical,escalated
495425,Company I,693279,email,2024-07-21 02:57,83,billing,resolved
417747,Company T,267205,chat,2024-08-10 09:41,478,technical,resolved
847480,Company P,523918,chat,2024-04-26 07:12,1149,technical,escalated
971342,Company X,813089,chat,2024-08-09 16:00,363,technical,resolved
457428,Company L,674740,email,2024-04-09 07:27,1056,technical,resolved
377568,Company S,599075,phone,2024-08-26 07:08,370,billing,resolved
906291,Company L,879972,chat,2024-02-06 14:59,1030,technical,resolved
797316,Company W,697000,chat,2024-03-26 11:59,232,billing,resolved
518795,Company M,532547,phone,2024-03-18 14:59,448,technical,resolved
982413,Company D,631251,phone,2024-01-01 19:13,1492,account,resolved
108715,Company S,286294,email,2024-09-08 07:16,547,billing,resolved
708252,Company R,970423,chat,2024-07-14 02:18,892,account,resolved
676646,Company T,390267,phone,2024-04-02 08:38,545,billing,resolved
331889,Company K,264810,email,2024-06-15 15:20,521,technical,escalated
181518,Company X,714660,chat,2024-05-25 06:56,661,technical,resolved
497144,Company C,441425,chat,2024-06-20 16:01,1601,billing,escalated
608933,Company J,978547,chat,2024-05-25 02:06,158,billing,resolved
798588,Company J,643210,chat,2024-02-16 21:21,96,technical,resolved
893396,Company O,810424,email,2024-03-24 03:22,120,billing,resolved
252735,Company X,446973,phone,2024-07-29 15:35,722,billing,resolved
583089,Company Z,954938,phone,2024-08-18 03:31,1047,billing,resolved
587101,Company A,902249,email,2024-07-08 22:05,1387,technical,escalated
577945,Company J,765149,chat,2024-01-08 17:23,327,technical,escalated
586774,Company J,642704,phone,2024-07-01 10:42,316,account,resolved
691559,Company Z,205330,chat,2024-09-13 22:31,869,technical,resolved
807595,Company U,636486,email,2024-02-06 15:45,590,billing,resolved
962215,Company Q,541814,chat,2024-08-23 16:57,536,technical,resolved
666316,Company Y,822049,chat,2024-01-22 06:29,357,technical,resolved
690761,Company R,840145,chat,2024-01-24 03:06,872,billing,resolved
737695,Company B,540780,phone,2024-09-19 15:32,997,technical,resolved
570817,Company N,420053,phone,2024-01-29 15:46,554,account,resolved
185351,Company U,101210,email,2024-01-08 18:26,165,technical,resolved
665098,Company X,394704,phone,2024-09-11 02:34,717,billing,resolved
890617,Company F,244798,email,2024-06-27 18:18,546,technical,resolved
482030,Company I,767402,chat,2024-09-12 11:32,161,technical,escalated
638411,Company P,228586,phone,2024-03-22 15:00,536,technical,resolved
442522,Company I,701258,chat,2024-04-25 06:24,86,billing,resolved
223950,Company D,718329,phone,2024-09-14 10:18,663,technical,resolved
988700,Company N,798613,chat,2024-07-27 20:41,766,technical,escalated
233247,Company G,715612,chat,2024-05-21 16:45,187,billing,resolved
712348,Company Y,392124,phone,2024-06-10 08:12,727,other,resolved
387091,Company Y,942499,email,2024-05-07 01:57,527,account,resolved
907495,Company U,125404,phone,2024-02-02 04:50,871,technical,resolved
414524,Company C,344556,email,2024-05-01 07:01,617,billing,resolved
245203,Company M,544801,email,2024-05-01 21:16,482,technical,resolved
363076,Company O,479970,phone,2024-04-17 15:49,283,billing,escalated
457425,Company L,701619,email,2024-08-30 20:25,468,other,resolved
725905,Company T,681248,chat,2024-04-24 05:41,412,billing,escalated
349324,Company E,796547,chat,2024-01-16 15:13,1082,billing,resolved
759408,Company P,983296,chat,2024-03-15 05:43,510,account,resolved
199230,Company X,308883,chat,2024-04-02 01:36,672,technical,resolved
994622,Company X,909741,chat,2024-07-31 20:57,469,billing,resolved
926734,Company M,718263,chat,2024-05-26 01:57,846,billing,escalated
133681,Company V,130958,email,2024-05-04 22:42,319,technical,escalated
672467,Company Q,141370,email,2024-01-05 03:15,664,technical,resolved
749027,Company G,159980,chat,2024-09-24 13:00,123,technical,escalated
542923,Company G,971201,email,2024-05-05 14:00,109,technical,unresolved
210959,Company R,581297,phone,2024-02-23 14:55,1009,technical,resolved
431870,Company A,756503,email,2024-04-18 04:17,1011,other,resolved
673471,Company N,775774,chat,2024-07-18 02:00,280,technical,resolved
886934,Company A,505608,phone,2024-07-02 02:10,908,technical,resolved
453680,Company Q,334659,chat,2024-09-05 02:15,396,technical,resolved
628033,Company I,427413,email,2024-08-01 20:03,270,other,resolved
730672,Company Y,420641,chat,2024-01-24 03:43,198,technical,resolved
315296,Company L,943940,chat,2024-09-21 11:50,1481,technical,resolved
997720,Company Y,847596,email,2024-06-16 09:59,575,technical,resolved
510048,Company R,647166,phone,2024-08-23 15:24,760,technical,resolved
876054,Company V,323248,email,2024-01-04 17:35,790,technical,resolved
306306,Company Z,461953,chat,2024-05-26 15:21,301,technical,resolved
475588,Company T,407140,chat,2024-03-04 03:00,752,technical,resolved
298274,Company E,261307,chat,2024-06-19 05:29,811,technical,resolved
626699,Company P,342505,chat,2024-06-16 07:49,1050,technical,resolved
587236,Company E,889049,phone,2024-01-07 06:37,1303,technical,resolved
142807,Company K,301167,chat,2024-09-08 10:20,419,technical,resolved
139938,Company N,259317,email,2024-03-16 06:06,650,other,resolved
119016,Company Q,653997,phone,2024-04-07 11:29,457,technical,escalated
498734,Company G,245483,chat,2024-05-24 19:14,361,billing,resolved
843312,Company W,148017,chat,2024-08-29 07:23,412,billing,unresolved
968890,Company I,374427,email,2024-04-30 17:54,109,technical,resolved
911997,Company T,194815,chat,2024-04-24 19:11,1010,technical,resolved
305017,Company P,316260,phone,2024-03-28 11:10,691,technical,resolved
246046,Company N,228120,email,2024-09-19 11:04,809,billing,resolved
667483,Company S,593540,email,2024-01-08 11:36,438,technical,escalated
497881,Company H,909263,chat,2024-03-23 13:00,328,technical,resolved
386972,Company L,693029,email,2024-07-13 21:06,753,account,resolved
321444,Company T,346272,email,2024-02-02 23:24,270,account,escalated
720875,Company L,861782,phone,2024-09-30 08:50,511,billing,resolved
700434,Company I,826949,chat,2024-05-17 02:03,245,billing,escalated
934906,Company O,922093,phone,2024-03-19 10:55,277,technical,escalated
905390,Company X,539149,chat,2024-01-22 00:13,944,technical,resolved
883200,Company Z,291045,chat,2024-02-11 20:36,386,account,escalated
820256,Company J,717124,chat,2024-08-22 20:17,374,technical,resolved
300513,Company Q,579986,chat,2024-08-09 12:30,882,account,resolved
172061,Company P,277710,chat,2024-05-20 17:39,392,other,resolved
853536,Company B,623453,chat,2024-06-28 23:10,1239,technical,escalated
999894,Company L,333098,phone,2024-09-20 02:16,1479,technical,resolved
639694,Company T,319836,email,2024-04-06 19:32,421,account,resolved
883765,Company U,838606,chat,2024-04-07 08:07,392,technical,resolved
668582,Company A,259051,chat,2024-07-17 14:59,1610,other,resolved
140302,Company Z,283071,chat,2024-08-04 11:25,1166,technical,resolved
453334,Company K,181048,chat,2024-04-26 10:50,219,technical,resolved
975536,Company R,246015,chat,2024-09-12 03:35,211,technical,escalated
575589,Company T,163793,email,2024-08-21 21:37,794,technical,resolved
372623,Company H,829737,chat,2024-05-29 06:22,365,technical,resolved
413066,Company N,515223,chat,2024-08-13 13:08,1041,billing,resolved
423325,Company I,239241,phone,2024-09-06 07:04,447,technical,resolved
188036,Company X,983305,chat,2024-10-01 13:38,245,account,resolved
100217,Company X,726908,chat,2024-06-05 16:12,1077,billing,resolved
534745,Company C,160643,chat,2024-08-26 05:22,816,billing,resolved
357278,Company W,446107,email,2024-08-09 20:46,297,technical,escalated
435283,Company K,644800,chat,2024-03-08 23:23,759,other,resolved
725405,Company R,311208,phone,2024-02-23 15:24,1147,technical,resolved
896429,Company Z,917816,chat,2024-04-29 09:11,847,technical,resolved
938772,Company G,293907,chat,2024-04-04 18:43,406,technical,escalated
432101,Company R,670167,chat,2024-01-14 16:40,852,technical,resolved
780815,Company E,835784,chat,2024-07-06 08:40,371,technical,resolved
710724,Company O,516282,chat,2024-05-28 02:48,619,billing,resolved
808187,Company R,487938,chat,2024-09-22 02:51,946,technical,resolved
688950,Company C,161028,chat,2024-05-27 18:12,1564,technical,resolved
251770,Company T,638204,phone,2024-10-06 01:33,468,refund,resolved
672716,Company N,154286,email,2024-08-24 12:24,1190,technical,resolved
754064,Company X,529351,chat,2024-07-16 05:10,783,technical,resolved
802136,Company B,753644,phone,2024-05-24 04:59,377,technical,resolved
321056,Company F,969382,email,2024-10-05 15:19,537,technical,escalated
275436,Company H,263416,chat,2024-09-13 14:39,365,technical,resolved
116099,Company L,962207,phone,2024-03-07 02:01,664,technical,resolved
836490,Company W,887995,chat,2024-10-05 01:19,414,technical,resolved
626278,Company J,450100,email,2024-03-11 23:55,179,billing,escalated
251452,Company V,466322,chat,2024-09-12 17:05,393,technical,resolved
131808,Company F,831358,phone,2024-06-17 19:29,482,technical,resolved
596941,Company X,558202,chat,2024-03-13 06:46,981,refund,resolved
615967,Company Y,164768,phone,2024-02-11 21:38,346,technical,resolved
650380,Company V,663202,phone,2024-01-17 17:31,826,technical,resolved
434678,Company Q,819153,chat,2024-05-20 22:25,299,technical,escalated
101057,Company A,177380,chat,2024-02-08 07:35,693,technical,resolved
355124,Company Y,143239,email,2024-04-27 23:05,817,billing,resolved
769027,Company T,898442,email,2024-08-15 06:28,762,technical,escalated
226435,Company Q,247441,email,2024-04-26 12:10,532,technical,resolved
343336,Company N,667591,chat,2024-02-01 21:37,430,technical,resolved
664910,Company L,208927,chat,2024-09-22 21:55,880,technical,escalated
526458,Company O,253890,chat,2024-07-26 12:07,432,technical,resolved
903524,Company O,185013,phone,2024-03-27 23:29,814,other,escalated
635022,Company L,408590,chat,2024-09-28 06:24,1399,billing,resolved
754640,Company Y,619730,chat,2024-08-21 10:28,784,technical,resolved
723216,Company M,762790,chat,2024-07-24 19:28,566,technical,resolved
745809,Company S,198121,chat,2024-06-22 22:20,160,refund,unresolved
935080,Company Z,404344,email,2024-01-20 22:21,498,technical,resolved
994772,Company Z,245283,email,2024-06-05 20:21,1028,billing,resolved
558456,Company G,230070,email,2024-05-13 12:15,526,technical,resolved
212779,Company F,678636,chat,2024-01-17 05:21,218,technical,resolved
705699,Company R,391183,email,2024-03-22 16:12,662,billing,resolved
495067,Company N,654224,email,2024-01-20 03:30,902,technical,resolved
745473,Company H,216097,email,2024-05-01 22:26,388,billing,resolved
654030,Company I,308292,email,2024-06-30 18:46,160,technical,resolved
897654,Company N,623802,chat,2024-09-15 02:34,812,billing,resolved
436196,Company C,115593,phone,2024-10-07 11:05,1183,technical,resolved
176178,Company R,797535,chat,2024-05-22 20:27,226,technical,resolved
666930,Company V,314719,email,2024-07-03 14:20,929,technical,resolved
895757,Company K,169731,email,2024-08-11 16:07,333,technical,resolved
708057,Company R,747842,email,2024-09-18 12:59,959,billing,escalated
299298,Company R,491996,chat,2024-05-05 21:33,577,technical,resolved
293046,Company G,252328,chat,2024-01-22 11:36,511,other,escalated
434270,Company E,311628,email,2024-02-02 11:41,764,technical,resolved
115215,Company D,985053,chat,2024-05-29 14:34,1140,technical,resolved
260203,Company K,897786,phone,2024-08-18 14:36,563,technical,resolved
144771,Company R,781337,chat,2024-10-02 11:08,399,technical,resolved
206346,Company C,629416,phone,2024-08-31 10:58,666,technical,resolved
269606,Company D,685122,email,2024-03-12 23:04,1527,technical,resolved
235775,Company O,116595,email,2024-06-05 01:29,457,technical,resolved
133680,Company W,493712,chat,2024-01-20 12:25,649,technical,resolved
793279,Company Q,240485,email,2024-07-08 12:20,154,refund,escalated
573543,Company Y,413244,email,2024-06-08 07:00,710,billing,escalated
312010,Company M,782905,chat,2024-04-05 16:32,349,technical,resolved
501363,Company S,872579,email,2024-01-08 23:24,595,refund,resolved
514689,Company T,418872,phone,2024-06-21 16:34,207,billing,resolved
914195,Company S,775753,chat,2024-05-25 01:41,205,technical,resolved
191977,Company I,300089,email,2024-06-03 04:43,403,technical,resolved
863222,Company Y,648928,chat,2024-03-15 08:09,516,billing,escalated
918132,Company I,102315,chat,2024-08-21 05:08,510,technical,resolved
578061,Company D,169222,phone,2024-10-05 13:59,730,technical,resolved
181575,Company X,306373,chat,2024-02-07 04:54,293,technical,resolved
571251,Company C,756891,email,2024-05-22 06:24,490,technical,resolved
964343,Company W,962962,chat,2024-03-19 09:16,666,refund,resolved
282742,Company J,663604,chat,2024-09-15 02:28,170,technical,resolved
976598,Company A,470331,email,2024-06-30 11:44,482,technical,resolved
689603,Company G,720600,email,2024-10-04 13:53,302,billing,resolved
648418,Company V,693726,phone,2024-07-15 19:36,308,technical,resolved
249800,Company S,544647,chat,2024-02-24 23:19,552,technical,resolved
336456,Company D,772275,chat,2024-02-03 19:31,885,technical,resolved
935997,Company F,352191,email,2024-02-18 05:18,135,technical,resolved
360844,Company L,419628,chat,2024-05-24 12:44,650,billing,escalated
720304,Company I,737962,email,2024-04-20 01:08,542,billing,resolved
346914,Company M,872381,phone,2024-02-08 07:09,528,technical,escalated
314361,Company B,913816,phone,2024-01-11 06:48,1514,technical,resolved
424242,Company E,556627,chat,2024-01-02 08:18,351,technical,resolved
783815,Company I,450130,chat,2024-09-10 12:46,251,other,resolved
615586,Company A,691058,chat,2024-06-02 00:04,1751,technical,escalated
950122,Company Z,573694,email,2024-10-01 19:08,652,technical,resolved
626083,Company A,752085,email,2024-09-15 05:21,1564,technical,resolved
630923,Company A,944794,phone,2024-08-08 02:55,1127,technical,resolved
770955,Company K,251861,chat,2024-09-09 15:05,369,technical,escalated
957680,Company F,185907,chat,2024-05-19 03:06,288,account,resolved
376821,Company Y,875515,phone,2024-05-03 19:14,588,technical,resolved
683882,Company K,752119,chat,2024-04-19 21:41,718,technical,resolved
687921,Company P,994770,email,2024-03-01 04:58,657,account,resolved
670545,Company I,534831,email,2024-04-03 06:15,564,billing,resolved
216899,Company F,418429,chat,2024-07-17 10:11,532,technical,escalated
215787,Company D,138359,phone,2024-07-22 16:12,1496,billing,resolved
289915,Company R,896523,email,2024-05-22 07:56,241,refund,escalated
260215,Company D,428834,chat,2024-06-18 23:41,1031,technical,resolved
435191,Company K,566772,chat,2024-07-13 23:58,833,billing,resolved
727584,Company Q,216208,phone,2024-10-05 20:31,320,billing,resolved
851158,Company R,965270,phone,2024-01-15 02:38,699,technical,resolved
458768,Company T,571249,chat,2024-01-25 12:05,676,technical,escalated
958581,Company U,782261,email,2024-04-05 10:37,747,billing,resolved
293660,Company L,205035,chat,2024-05-15 23:27,1188,technical,resolved
924535,Company R,342926,chat,2024-01-27 10:49,652,other,escalated
399579,Company O,811511,phone,2024-09-07 15:17,250,billing,resolved
566689,Company I,667720,email,2024-09-15 23:39,253,technical,resolved
189567,Company U,460192,phone,2024-04-09 10:39,448,technical,resolved
953007,Company A,591897,phone,2024-05-18 23:00,506,technical,resolved
749866,Company Z,585046,chat,2024-04-21 20:39,510,technical,resolved
859614,Company G,947941,email,2024-06-01 15:08,71,account,resolved
613177,Company P,410512,email,2024-08-14 11:47,923,technical,resolved
448358,Company M,958659,chat,2024-06-06 03:20,739,technical,resolved
173463,Company I,503690,chat,2024-10-05 05:55,593,technical,resolved
375883,Company D,998618,chat,2024-08-20 06:42,727,billing,resolved
641291,Company O,576174,email,2024-04-06 02:57,553,technical,resolved
881495,Company T,811216,email,2024-04-24 14:18,974,other,resolved
744600,Company J,715013,email,2024-03-14 09:20,561,technical,escalated
650807,Company L,528913,chat,2024-03-17 01:14,1251,technical,resolved
383796,Company A,756371,email,2024-07-15 17:07,1136,other,resolved
639299,Company T,742854,email,2024-01-24 11:11,697,technical,resolved
764837,Company D,712838,chat,2024-02-27 11:00,495,technical,resolved
766665,Company S,250199,chat,2024-04-20 21:59,651,other,unresolved
971834,Company P,124968,phone,2024-07-20 16:11,227,technical,resolved
149910,Company I,915153,phone,2024-03-31 03:09,399,technical,resolved
750528,Company M,538497,email,2024-06-17 08:13,490,other,escalated
